model,split,accuracy,f1_weighted,f1_macro,precision,recall
Logistic Regression,Dev,0.6272727272727273,0.6016087766457409,0.5559010778461908,0.6372753903367682,0.6272727272727273
Logistic Regression,Test,0.6493653032440057,0.6296786665097807,0.5729548431216548,0.6766058944986371,0.6493653032440057
LinearSVC,Dev,0.6260606060606061,0.6157163089803738,0.5858991220573568,0.6242149797265665,0.6260606060606061
LinearSVC,Test,0.6409026798307476,0.6341102894086955,0.5996793246452897,0.646154505642025,0.6409026798307476
